Time_min,Media Port,PR North,PR East,Boyawan,Dijing Huayuan
24.5,1.3621536428203417e-16,1.682539264125505e-20,2.733253652258957e-21,5.002746214182626e-16,1.3183822100890821e-21
25.0,2.005125914670083e-16,2.856934163228879e-20,4.697892712731258e-21,7.252712730820733e-16,2.3379089526962992e-21
25.5,2.879982472629899e-16,4.7118613100101886e-20,7.842950296586538e-21,1.02599380776252e-15,4.0219516742660655e-21
26.0,4.041304100103095e-16,7.559499490367519e-20,1.2736558747830731e-20,1.4180999656797592e-15,6.722678010028363e-21
26.5,5.546899045212776e-16,1.181431081649475e-19,2.014747683410317e-20,1.9174009069755627e-15,1.093380294767439e-20
27.0,7.455133383787688e-16,1.800961292825203e-19,3.1084583136094356e-20,2.53894368515738e-15,1.7326422391929357e-20
27.5,9.821663057164052e-16,2.6810785821947847e-19,4.683264532690767e-20,3.2959783619373334e-15,2.6785642112420592e-20
28.0,1.2695748725257732e-15,3.9022780269541137e-19,6.89797367747995e-20,4.1988814677619454e-15,4.044475722578389e-20
28.5,1.6116397744993924e-15,5.558956095480665e-19,9.943120374426469e-20,5.2541191162523116e-15,5.971294379073018e-20
29.0,2.010861968232672e-15,7.758335628765737e-19,1.4040510478900126e-19,6.4633364327262036e-15,8.629190106268193e-20
29.5,2.4680096743173167e-15,1.0618211790414882e-18,1.9440464484484638e-19,7.822654428035042e-15,1.2217676327127758e-19
30.0,2.981855572512743e-15,1.4263439746934242e-18,2.6416434014690794e-19,9.322241554619917e-15,1.6963698339181733e-19
30.5,3.5490084623198864e-15,1.882118685127567e-18,3.525684279408409e-19,1.0946206466502337e-14,2.3117382499949666e-19
31.0,4.163856940010894e-15,2.4415086417046484e-18,4.625422488908564e-19,1.2672833283810088e-14,3.0945256153760483e-19
31.5,4.818634190328923e-15,3.1158545159405974e-18,5.969197834276717e-19,1.4475153673269e-14,4.0720938319915547e-19
32.0,5.5036037379745955e-15,3.9147559485850954e-18,7.58292972774422e-19,1.6321824085481056e-14,5.271351926705295e-19
32.5,6.20735688660581e-15,4.845347518569902e-18,9.488506407317959e-19,1.817825403009085e-14,6.717407256145027e-19
33.0,6.917204458267062e-15,5.911617106422802e-18,1.17021650873273e-18,2.0007914252087528e-14,8.432095283431974e-19
33.5,7.61963903736689e-15,7.113815352799952e-18,1.4232967657605864e-18,2.1773743301519895e-14,1.043247035344767e-18
34.0,8.300839696772048e-15,8.448001408831814e-18,1.7081477889235961e-18,2.3439567689200265e-14,1.2729351166007298e-18
34.5,8.947189359411594e-15,9.905762763325748e-18,2.023873868216329e-18,2.497145428207603e-14,1.5326018684258141e-18
35.0,9.545775495720712e-15,1.147413625596582e-17,2.368563218578581e-18,2.6338922893226505e-14,1.8217160343076967e-18
35.5,1.0084847525407431e-14,1.313574440535377e-17,2.7392682947818855e-18,2.751596080733774e-14,2.1388142767886726e-18
36.0,1.0554208665343254e-14,1.486914705492162e-17,3.1320336569602323e-18,2.848179765866182e-14,2.4814676685765963e-18
36.5,1.0945525524456462e-14,1.664939429379133e-17,3.541971606428383e-18,2.9221417002081385e-14,2.846291387763207e-18
37.0,1.1252544932743943e-14,1.844875380548405e-17,3.9633827784339825e-18,2.972579856159458e-14,3.2289988926613244e-18
37.5,1.1471213765170876e-14,2.023757522143725e-17,4.389916085764453e-18,2.9991901216353413e-14,3.624499045149088e-18
38.0,1.159970340806386e-14,2.1985246436662206e-17,4.8147600659979055e-18,3.0022410322062016e-14,4.027031976556915e-18
38.5,1.1638345639227992e-14,2.3661192603723213e-17,5.230855955546868e-18,2.982528334561394e-14,4.4303371539125896e-18
39.0,1.158949079217939e-14,2.5235867763561805e-17,5.631121793260298e-18,2.9413134738259746e-14,4.827845273245895e-18
